sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
17.12.2011 00:00;56,573;0,000
17.12.2011 00:05;56,573;0,000
17.12.2011 00:10;56,573;0,000
17.12.2011 00:15;56,573;0,000
17.12.2011 00:20;56,573;0,000
17.12.2011 00:25;56,573;0,000
17.12.2011 00:30;56,573;0,000
17.12.2011 00:35;56,573;0,000
17.12.2011 00:40;56,573;0,000
17.12.2011 00:45;56,573;0,000
17.12.2011 00:50;56,573;0,000
17.12.2011 00:55;56,573;0,000
17.12.2011 01:00;56,573;0,000
17.12.2011 01:05;56,573;0,000
17.12.2011 01:10;56,573;0,000
17.12.2011 01:15;56,573;0,000
17.12.2011 01:20;56,573;0,000
17.12.2011 01:25;56,573;0,000
17.12.2011 01:30;56,573;0,000
17.12.2011 01:35;56,573;0,000
17.12.2011 01:40;56,573;0,000
17.12.2011 01:45;56,573;0,000
17.12.2011 01:50;56,573;0,000
17.12.2011 01:55;56,573;0,000
17.12.2011 02:00;56,573;0,000
17.12.2011 02:05;56,573;0,000
17.12.2011 02:10;56,573;0,000
17.12.2011 02:15;56,573;0,000
17.12.2011 02:20;56,573;0,000
17.12.2011 02:25;56,573;0,000
17.12.2011 02:30;56,573;0,000
17.12.2011 02:35;56,573;0,000
17.12.2011 02:40;56,573;0,000
17.12.2011 02:45;56,573;0,000
17.12.2011 02:50;56,573;0,000
17.12.2011 02:55;56,573;0,000
17.12.2011 03:00;56,573;0,000
17.12.2011 03:05;56,573;0,000
17.12.2011 03:10;56,573;0,000
17.12.2011 03:15;56,573;0,000
17.12.2011 03:20;56,573;0,000
17.12.2011 03:25;56,573;0,000
17.12.2011 03:30;56,573;0,000
17.12.2011 03:35;56,573;0,000
17.12.2011 03:40;56,573;0,000
17.12.2011 03:45;56,573;0,000
17.12.2011 03:50;56,573;0,000
17.12.2011 03:55;56,573;0,000
17.12.2011 04:00;56,573;0,000
17.12.2011 04:05;56,573;0,000
17.12.2011 04:10;56,573;0,000
17.12.2011 04:15;56,573;0,000
17.12.2011 04:20;56,573;0,000
17.12.2011 04:25;56,573;0,000
17.12.2011 04:30;56,573;0,000
17.12.2011 04:35;56,573;0,000
17.12.2011 04:40;56,573;0,000
17.12.2011 04:45;56,573;0,000
17.12.2011 04:50;56,573;0,000
17.12.2011 04:55;56,573;0,000
17.12.2011 05:00;56,573;0,000
17.12.2011 05:05;56,573;0,000
17.12.2011 05:10;56,573;0,000
17.12.2011 05:15;56,573;0,000
17.12.2011 05:20;56,573;0,000
17.12.2011 05:25;56,573;0,000
17.12.2011 05:30;56,573;0,000
17.12.2011 05:35;56,573;0,000
17.12.2011 05:40;56,573;0,000
17.12.2011 05:45;56,573;0,000
17.12.2011 05:50;56,573;0,000
17.12.2011 05:55;56,573;0,000
17.12.2011 06:00;56,573;0,000
17.12.2011 06:05;56,573;0,000
17.12.2011 06:10;56,573;0,000
17.12.2011 06:15;56,573;0,000
17.12.2011 06:20;56,573;0,000
17.12.2011 06:25;56,573;0,000
17.12.2011 06:30;56,573;0,000
17.12.2011 06:35;56,573;0,000
17.12.2011 06:40;56,573;0,000
17.12.2011 06:45;56,573;0,000
17.12.2011 06:50;56,573;0,000
17.12.2011 06:55;56,573;0,000
17.12.2011 07:00;56,573;0,000
17.12.2011 07:05;56,573;0,000
17.12.2011 07:10;56,573;0,000
17.12.2011 07:15;56,573;0,000
17.12.2011 07:20;56,573;0,000
17.12.2011 07:25;56,573;0,000
17.12.2011 07:30;56,573;0,000
17.12.2011 07:35;56,573;0,000
17.12.2011 07:40;56,573;0,000
17.12.2011 07:45;56,573;0,000
17.12.2011 07:50;56,573;0,000
17.12.2011 07:55;56,573;0,000
17.12.2011 08:00;56,573;0,000
17.12.2011 08:05;56,573;0,000
17.12.2011 08:10;56,573;0,000
17.12.2011 08:15;56,573;0,000
17.12.2011 08:20;56,573;0,000
17.12.2011 08:25;56,573;0,000
17.12.2011 08:30;56,573;0,000
17.12.2011 08:35;56,573;0,000
17.12.2011 08:40;56,577;0,048
17.12.2011 08:45;56,582;0,060
17.12.2011 08:50;56,586;0,048
17.12.2011 08:55;56,591;0,060
17.12.2011 09:00;56,599;0,096
17.12.2011 09:05;56,611;0,144
17.12.2011 09:10;56,618;0,084
17.12.2011 09:15;56,626;0,096
17.12.2011 09:20;56,633;0,084
17.12.2011 09:25;56,643;0,120
17.12.2011 09:30;56,661;0,216
17.12.2011 09:35;56,685;0,288
17.12.2011 09:40;56,718;0,396
17.12.2011 09:45;56,753;0,420
17.12.2011 09:50;56,789;0,432
17.12.2011 09:55;56,813;0,288
17.12.2011 10:00;56,842;0,348
17.12.2011 10:05;56,859;0,204
17.12.2011 10:10;56,865;0,072
17.12.2011 10:15;56,871;0,072
17.12.2011 10:20;56,879;0,096
17.12.2011 10:25;56,890;0,132
17.12.2011 10:30;56,904;0,168
17.12.2011 10:35;56,924;0,240
17.12.2011 10:40;56,939;0,180
17.12.2011 10:45;56,948;0,108
17.12.2011 10:50;56,963;0,180
17.12.2011 10:55;56,978;0,180
17.12.2011 11:00;56,989;0,132
17.12.2011 11:05;56,998;0,108
17.12.2011 11:10;57,014;0,192
17.12.2011 11:15;57,034;0,240
17.12.2011 11:20;57,065;0,372
17.12.2011 11:25;57,081;0,192
17.12.2011 11:30;57,099;0,216
17.12.2011 11:35;57,125;0,312
17.12.2011 11:40;57,159;0,408
17.12.2011 11:45;57,233;0,888
17.12.2011 11:50;57,283;0,600
17.12.2011 11:55;57,351;0,816
17.12.2011 12:00;57,524;2,076
17.12.2011 12:05;57,842;3,816
17.12.2011 12:10;58,176;4,008
17.12.2011 12:15;58,414;2,856
17.12.2011 12:20;58,553;1,668
17.12.2011 12:25;58,778;2,700
17.12.2011 12:30;59,078;3,600
17.12.2011 12:35;59,376;3,576
17.12.2011 12:40;59,671;3,540
17.12.2011 12:45;59,962;3,492
17.12.2011 12:50;60,240;3,336
17.12.2011 12:55;60,529;3,468
17.12.2011 13:00;60,820;3,492
17.12.2011 13:05;60,989;2,028
17.12.2011 13:10;61,137;1,776
17.12.2011 13:15;61,223;1,032
17.12.2011 13:20;61,248;0,300
17.12.2011 13:25;61,267;0,228
17.12.2011 13:30;61,293;0,312
17.12.2011 13:35;61,322;0,348
17.12.2011 13:40;61,345;0,276
17.12.2011 13:45;61,367;0,264
17.12.2011 13:50;61,461;1,128
17.12.2011 13:55;61,650;2,268
17.12.2011 14:00;61,760;1,320
17.12.2011 14:05;61,820;0,720
17.12.2011 14:10;61,891;0,852
17.12.2011 14:15;61,941;0,600
17.12.2011 14:20;62,042;1,212
17.12.2011 14:25;62,122;0,960
17.12.2011 14:30;62,334;2,544
17.12.2011 14:35;62,437;1,236
17.12.2011 14:40;62,499;0,744
17.12.2011 14:45;62,548;0,588
17.12.2011 14:50;62,579;0,372
17.12.2011 14:55;62,603;0,288
17.12.2011 15:00;62,621;0,216
