DeviceType	DeviceLocation	SusyId	SerNo	TimeStamp	EntryId	EventCode	EventType	Category	Group	Tag
SB 4000TL-20	SN: 2100538165	78	2100538165	10.11.2011 15:59	37	10109	Event	Info	Gerät	Zeitstellung erfolgt / neue Zeit
SB 4000TL-20	SN: 2100538165	78	2100538165	10.11.2011 16:19	58	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	11.11.2011 07:42	90	10010	Event	Info	Gerätekomponenten	Neustart Diagnosesystem
SB 4000TL-20	SN: 2100538165	78	2100538165	11.11.2011 07:43	94	10010	Event	Info	Gerätekomponenten	Neustart Diagnosesystem
SB 4000TL-20	SN: 2100538165	78	2100538165	11.11.2011 07:44	99	8	Incoming	Info	Netzüberwachung	Warten auf Netzspannung
SB 4000TL-20	SN: 2100538165	78	2100538165	11.11.2011 07:51	112	8	Incoming	Warning	Netzüberwachung	Warten auf Netzspannung
SB 4000TL-20	SN: 2100538165	78	2100538165	11.11.2011 08:03	126	8	Incoming	Error	Netzüberwachung	Netzausfall
SB 4000TL-20	SN: 2100538165	78	2100538165	11.11.2011 08:26	149	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	12.11.2011 07:34	659	10010	Event	Info	Gerätekomponenten	Neustart Diagnosesystem
SB 4000TL-20	SN: 2100538165	78	2100538165	12.11.2011 07:35	664	8	Incoming	Info	Netzüberwachung	Warten auf Netzspannung
SB 4000TL-20	SN: 2100538165	78	2100538165	12.11.2011 07:42	677	8	Incoming	Warning	Netzüberwachung	Warten auf Netzspannung
SB 4000TL-20	SN: 2100538165	78	2100538165	12.11.2011 07:54	691	8	Incoming	Error	Netzüberwachung	Netzausfall
SB 4000TL-20	SN: 2100538165	78	2100538165	12.11.2011 08:16	714	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	13.11.2011 07:33	1222	10010	Event	Info	Gerätekomponenten	Neustart Diagnosesystem
SB 4000TL-20	SN: 2100538165	78	2100538165	13.11.2011 07:34	1226	10010	Event	Info	Gerätekomponenten	Neustart Diagnosesystem
SB 4000TL-20	SN: 2100538165	78	2100538165	13.11.2011 07:35	1231	8	Incoming	Info	Netzüberwachung	Warten auf Netzspannung
SB 4000TL-20	SN: 2100538165	78	2100538165	13.11.2011 07:41	1244	8	Incoming	Warning	Netzüberwachung	Warten auf Netzspannung
