sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
13.12.2011 00:00;41,690;0,000
13.12.2011 00:05;41,690;0,000
13.12.2011 00:10;41,690;0,000
13.12.2011 00:15;41,690;0,000
13.12.2011 00:20;41,690;0,000
13.12.2011 00:25;41,690;0,000
13.12.2011 00:30;41,690;0,000
13.12.2011 00:35;41,690;0,000
13.12.2011 00:40;41,690;0,000
13.12.2011 00:45;41,690;0,000
13.12.2011 00:50;41,690;0,000
13.12.2011 00:55;41,690;0,000
13.12.2011 01:00;41,690;0,000
13.12.2011 01:05;41,690;0,000
13.12.2011 01:10;41,690;0,000
13.12.2011 01:15;41,690;0,000
13.12.2011 01:20;41,690;0,000
13.12.2011 01:25;41,690;0,000
13.12.2011 01:30;41,690;0,000
13.12.2011 01:35;41,690;0,000
13.12.2011 01:40;41,690;0,000
13.12.2011 01:45;41,690;0,000
13.12.2011 01:50;41,690;0,000
13.12.2011 01:55;41,690;0,000
13.12.2011 02:00;41,690;0,000
13.12.2011 02:05;41,690;0,000
13.12.2011 02:10;41,690;0,000
13.12.2011 02:15;41,690;0,000
13.12.2011 02:20;41,690;0,000
13.12.2011 02:25;41,690;0,000
13.12.2011 02:30;41,690;0,000
13.12.2011 02:35;41,690;0,000
13.12.2011 02:40;41,690;0,000
13.12.2011 02:45;41,690;0,000
13.12.2011 02:50;41,690;0,000
13.12.2011 02:55;41,690;0,000
13.12.2011 03:00;41,690;0,000
13.12.2011 03:05;41,690;0,000
13.12.2011 03:10;41,690;0,000
13.12.2011 03:15;41,690;0,000
13.12.2011 03:20;41,690;0,000
13.12.2011 03:25;41,690;0,000
13.12.2011 03:30;41,690;0,000
13.12.2011 03:35;41,690;0,000
13.12.2011 03:40;41,690;0,000
13.12.2011 03:45;41,690;0,000
13.12.2011 03:50;41,690;0,000
13.12.2011 03:55;41,690;0,000
13.12.2011 04:00;41,690;0,000
13.12.2011 04:05;41,690;0,000
13.12.2011 04:10;41,690;0,000
13.12.2011 04:15;41,690;0,000
13.12.2011 04:20;41,690;0,000
13.12.2011 04:25;41,690;0,000
13.12.2011 04:30;41,690;0,000
13.12.2011 04:35;41,690;0,000
13.12.2011 04:40;41,690;0,000
13.12.2011 04:45;41,690;0,000
13.12.2011 04:50;41,690;0,000
13.12.2011 04:55;41,690;0,000
13.12.2011 05:00;41,690;0,000
13.12.2011 05:05;41,690;0,000
13.12.2011 05:10;41,690;0,000
13.12.2011 05:15;41,690;0,000
13.12.2011 05:20;41,690;0,000
13.12.2011 05:25;41,690;0,000
13.12.2011 05:30;41,690;0,000
13.12.2011 05:35;41,690;0,000
13.12.2011 05:40;41,690;0,000
13.12.2011 05:45;41,690;0,000
13.12.2011 05:50;41,690;0,000
13.12.2011 05:55;41,690;0,000
13.12.2011 06:00;41,690;0,000
13.12.2011 06:05;41,690;0,000
13.12.2011 06:10;41,690;0,000
13.12.2011 06:15;41,690;0,000
13.12.2011 06:20;41,690;0,000
13.12.2011 06:25;41,690;0,000
13.12.2011 06:30;41,690;0,000
13.12.2011 06:35;41,690;0,000
13.12.2011 06:40;41,690;0,000
13.12.2011 06:45;41,690;0,000
13.12.2011 06:50;41,690;0,000
13.12.2011 06:55;41,690;0,000
13.12.2011 07:00;41,690;0,000
13.12.2011 07:05;41,690;0,000
13.12.2011 07:10;41,690;0,000
13.12.2011 07:15;41,690;0,000
13.12.2011 07:20;41,690;0,000
13.12.2011 07:25;41,690;0,000
13.12.2011 07:30;41,690;0,000
13.12.2011 07:35;41,690;0,000
13.12.2011 07:40;41,690;0,000
13.12.2011 07:45;41,690;0,000
13.12.2011 07:50;41,690;0,000
13.12.2011 07:55;41,690;0,000
13.12.2011 08:00;41,690;0,000
13.12.2011 08:05;41,690;0,000
13.12.2011 08:10;41,690;0,000
13.12.2011 08:15;41,690;0,000
13.12.2011 08:20;41,690;0,000
13.12.2011 08:25;41,690;0,000
13.12.2011 08:30;41,690;0,000
13.12.2011 08:35;41,690;0,000
13.12.2011 08:40;41,690;0,000
13.12.2011 08:45;41,690;0,000
13.12.2011 08:50;41,690;0,000
13.12.2011 08:55;41,693;0,036
13.12.2011 09:00;41,697;0,048
13.12.2011 09:05;41,701;0,048
13.12.2011 09:10;41,704;0,036
13.12.2011 09:15;41,706;0,024
13.12.2011 09:20;41,710;0,048
13.12.2011 09:25;41,714;0,048
13.12.2011 09:30;41,718;0,048
13.12.2011 09:35;41,724;0,072
13.12.2011 09:40;41,732;0,096
13.12.2011 09:45;41,742;0,120
13.12.2011 09:50;41,751;0,108
13.12.2011 09:55;41,759;0,096
13.12.2011 10:00;41,768;0,108
13.12.2011 10:05;41,778;0,120
13.12.2011 10:10;41,789;0,132
13.12.2011 10:15;41,806;0,204
13.12.2011 10:20;41,834;0,336
13.12.2011 10:25;41,891;0,684
13.12.2011 10:30;41,909;0,216
13.12.2011 10:35;41,919;0,120
13.12.2011 10:40;41,929;0,120
13.12.2011 10:45;41,940;0,132
13.12.2011 10:50;41,951;0,132
13.12.2011 10:55;41,958;0,084
13.12.2011 11:00;41,965;0,084
13.12.2011 11:05;41,970;0,060
13.12.2011 11:10;41,973;0,036
13.12.2011 11:15;41,979;0,072
13.12.2011 11:20;41,981;0,024
13.12.2011 11:25;41,985;0,048
13.12.2011 11:30;41,993;0,096
13.12.2011 11:35;42,008;0,180
13.12.2011 11:40;42,023;0,180
13.12.2011 11:45;42,039;0,192
13.12.2011 11:50;42,061;0,264
13.12.2011 11:55;42,075;0,168
13.12.2011 12:00;42,091;0,192
13.12.2011 12:05;42,111;0,240
13.12.2011 12:10;42,144;0,396
13.12.2011 12:15;42,177;0,396
13.12.2011 12:20;42,206;0,348
13.12.2011 12:25;42,236;0,360
13.12.2011 12:30;42,266;0,360
13.12.2011 12:35;42,297;0,372
13.12.2011 12:40;42,341;0,528
13.12.2011 12:45;42,420;0,948
13.12.2011 12:50;42,505;1,020
13.12.2011 12:55;42,599;1,128
13.12.2011 13:00;42,758;1,908
13.12.2011 13:05;43,016;3,096
13.12.2011 13:10;43,296;3,360
13.12.2011 13:15;43,590;3,528
13.12.2011 13:20;43,843;3,036
13.12.2011 13:25;44,099;3,072
13.12.2011 13:30;44,252;1,836
13.12.2011 13:35;44,368;1,392
13.12.2011 13:40;44,616;2,976
13.12.2011 13:45;44,795;2,148
13.12.2011 13:50;45,024;2,748
13.12.2011 13:55;45,277;3,036
13.12.2011 14:00;45,393;1,392
13.12.2011 14:05;45,456;0,756
13.12.2011 14:10;45,669;2,556
13.12.2011 14:15;45,906;2,844
13.12.2011 14:20;45,952;0,552
13.12.2011 14:25;45,975;0,276
13.12.2011 14:30;46,005;0,360
13.12.2011 14:35;46,060;0,660
13.12.2011 14:40;46,117;0,684
13.12.2011 14:45;46,160;0,516
13.12.2011 14:50;46,191;0,372
13.12.2011 14:55;46,209;0,216
13.12.2011 15:00;46,229;0,240
