sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Tagesertrag;Gesamtertrag;Tagesertrag
;Counter;Analog;Counter;Analog
dd.MM.yyyy;kWh;kWh;kWh;kWh
01.05.2012;9653,814;20,644;596,555;13,127
02.05.2012;9677,038;23,224;610,285;13,730
03.05.2012;9696,160;19,122;623,927;13,642
04.05.2012;9720,684;24,524;637,925;13,998
05.05.2012;9733,256;12,572;647,567;9,642
06.05.2012;9742,569;9,313;654,939;7,372
07.05.2012;9758,856;16,287;667,656;12,717
08.05.2012;9782,817;23,961;682,104;14,448
09.05.2012;9799,070;16,253;694,934;12,830
10.05.2012;9824,396;25,326;710,050;15,116
11.05.2012;9847,623;23,227;724,479;14,429
12.05.2012;9850,989;3,366;727,338;2,859
13.05.2012;9873,611;22,622;742,660;15,322
14.05.2012;9902,598;28,987;759,231;16,571
15.05.2012;9922,830;20,232;771,960;12,729
16.05.2012;9937,304;14,474;782,780;10,820
17.05.2012;9963,859;26,555;798,230;15,450
18.05.2012;9978,525;14,666;809,585;11,355
19.05.2012;10004,737;26,212;824,837;15,252
20.05.2012;10025,901;21,164;838,380;13,543
21.05.2012;10042,083;16,182;850,587;12,207
22.05.2012;10058,613;16,530;861,506;10,919
23.05.2012;10081,972;23,359;877,451;15,945
24.05.2012;10105,156;23,184;892,431;14,980
25.05.2012;10134,265;29,109;909,447;17,016
26.05.2012;10163,402;29,137;926,558;17,111
27.05.2012;10189,715;26,313;945,027;18,469
28.05.2012;10210,220;20,505;959,786;14,759
29.05.2012;10230,520;20,300;974,022;14,236
30.05.2012;10248,203;17,683;987,212;13,190
31.05.2012;10271,109;22,906;1002,915;15,703
