sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
24.05.2012 00:00;10081,972;0,000;877,451;0,000
24.05.2012 00:05;10081,972;0,000;877,451;0,000
24.05.2012 00:10;10081,972;0,000;877,451;0,000
24.05.2012 00:15;10081,972;0,000;877,451;0,000
24.05.2012 00:20;10081,972;0,000;877,451;0,000
24.05.2012 00:25;10081,972;0,000;877,451;0,000
24.05.2012 00:30;10081,972;0,000;877,451;0,000
24.05.2012 00:35;10081,972;0,000;877,451;0,000
24.05.2012 00:40;10081,972;0,000;877,451;0,000
24.05.2012 00:45;10081,972;0,000;877,451;0,000
24.05.2012 00:50;10081,972;0,000;877,451;0,000
24.05.2012 00:55;10081,972;0,000;877,451;0,000
24.05.2012 01:00;10081,972;0,000;877,451;0,000
24.05.2012 01:05;10081,972;0,000;877,451;0,000
24.05.2012 01:10;10081,972;0,000;877,451;0,000
24.05.2012 01:15;10081,972;0,000;877,451;0,000
24.05.2012 01:20;10081,972;0,000;877,451;0,000
24.05.2012 01:25;10081,972;0,000;877,451;0,000
24.05.2012 01:30;10081,972;0,000;877,451;0,000
24.05.2012 01:35;10081,972;0,000;877,451;0,000
24.05.2012 01:40;10081,972;0,000;877,451;0,000
24.05.2012 01:45;10081,972;0,000;877,451;0,000
24.05.2012 01:50;10081,972;0,000;877,451;0,000
24.05.2012 01:55;10081,972;0,000;877,451;0,000
24.05.2012 02:00;10081,972;0,000;877,451;0,000
24.05.2012 02:05;10081,972;0,000;877,451;0,000
24.05.2012 02:10;10081,972;0,000;877,451;0,000
24.05.2012 02:15;10081,972;0,000;877,451;0,000
24.05.2012 02:20;10081,972;0,000;877,451;0,000
24.05.2012 02:25;10081,972;0,000;877,451;0,000
24.05.2012 02:30;10081,972;0,000;877,451;0,000
24.05.2012 02:35;10081,972;0,000;877,451;0,000
24.05.2012 02:40;10081,972;0,000;877,451;0,000
24.05.2012 02:45;10081,972;0,000;877,451;0,000
24.05.2012 02:50;10081,972;0,000;877,451;0,000
24.05.2012 02:55;10081,972;0,000;877,451;0,000
24.05.2012 03:00;10081,972;0,000;877,451;0,000
24.05.2012 03:05;10081,972;0,000;877,451;0,000
24.05.2012 03:10;10081,972;0,000;877,451;0,000
24.05.2012 03:15;10081,972;0,000;877,451;0,000
24.05.2012 03:20;10081,972;0,000;877,451;0,000
24.05.2012 03:25;10081,972;0,000;877,451;0,000
24.05.2012 03:30;10081,972;0,000;877,451;0,000
24.05.2012 03:35;10081,972;0,000;877,451;0,000
24.05.2012 03:40;10081,972;0,000;877,451;0,000
24.05.2012 03:45;10081,972;0,000;877,451;0,000
24.05.2012 03:50;10081,972;0,000;877,451;0,000
24.05.2012 03:55;10081,972;0,000;877,451;0,000
24.05.2012 04:00;10081,972;0,000;877,451;0,000
24.05.2012 04:05;10081,972;0,000;877,451;0,000
24.05.2012 04:10;10081,972;0,000;877,451;0,000
24.05.2012 04:15;10081,972;0,000;877,451;0,000
24.05.2012 04:20;10081,972;0,000;877,451;0,000
24.05.2012 04:25;10081,972;0,000;877,451;0,000
24.05.2012 04:30;10081,972;0,000;877,451;0,000
24.05.2012 04:35;10081,972;0,000;877,451;0,000
24.05.2012 04:40;10081,972;0,000;877,451;0,000
24.05.2012 04:45;10081,972;0,000;877,451;0,000
24.05.2012 04:50;10081,972;0,000;877,451;0,000
24.05.2012 04:55;10081,972;0,000;877,451;0,000
24.05.2012 05:00;10081,972;0,000;877,451;0,000
24.05.2012 05:05;10081,972;0,000;877,451;0,000
24.05.2012 05:10;10081,972;0,000;877,451;0,000
24.05.2012 05:15;10081,972;0,000;877,451;0,000
24.05.2012 05:20;10081,972;0,000;877,451;0,000
24.05.2012 05:25;10081,972;0,000;877,451;0,000
24.05.2012 05:30;10081,972;0,000;877,451;0,000
24.05.2012 05:35;10081,972;0,000;877,451;0,000
24.05.2012 05:40;10081,972;0,000;877,451;0,000
24.05.2012 05:45;10081,972;0,000;877,451;0,000
24.05.2012 05:50;10081,972;0,000;877,451;0,000
24.05.2012 05:55;10081,972;0,000;877,451;0,000
24.05.2012 06:00;10081,972;0,000;877,451;0,000
24.05.2012 06:05;10081,972;0,000;877,451;0,000
24.05.2012 06:10;10081,972;0,000;877,451;0,000
24.05.2012 06:15;10081,972;0,000;877,451;0,000
24.05.2012 06:20;10081,972;0,000;877,451;0,000
24.05.2012 06:25;10081,972;0,000;877,451;0,000
24.05.2012 06:30;10081,972;0,000;877,451;0,000
24.05.2012 06:35;10081,972;0,000;877,451;0,000
24.05.2012 06:40;10081,972;0,000;877,451;0,000
24.05.2012 06:45;10081,972;0,000;877,451;0,000
24.05.2012 06:50;10081,973;0,012;877,452;0,012
24.05.2012 06:55;10081,978;0,060;877,456;0,048
24.05.2012 07:00;10081,988;0,120;877,465;0,108
24.05.2012 07:05;10082,003;0,180;877,477;0,144
24.05.2012 07:10;10082,021;0,216;877,492;0,180
24.05.2012 07:15;10082,043;0,264;877,511;0,228
24.05.2012 07:20;10082,068;0,300;877,532;0,252
24.05.2012 07:25;10082,095;0,324;877,555;0,276
24.05.2012 07:30;10082,128;0,396;877,585;0,360
24.05.2012 07:35;10082,169;0,492;877,623;0,456
24.05.2012 07:40;10082,222;0,636;877,667;0,528
24.05.2012 07:45;10082,275;0,636;877,711;0,528
24.05.2012 07:50;10082,325;0,600;877,753;0,504
24.05.2012 07:55;10082,376;0,612;877,796;0,516
24.05.2012 08:00;10082,433;0,684;877,840;0,528
24.05.2012 08:05;10082,481;0,576;877,877;0,444
24.05.2012 08:10;10082,532;0,612;877,911;0,408
24.05.2012 08:15;10082,589;0,684;877,949;0,456
24.05.2012 08:20;10082,650;0,732;877,985;0,432
24.05.2012 08:25;10082,717;0,804;878,021;0,432
24.05.2012 08:30;10082,790;0,876;878,057;0,432
24.05.2012 08:35;10082,860;0,840;878,092;0,420
24.05.2012 08:40;10082,931;0,852;878,128;0,432
24.05.2012 08:45;10083,016;1,020;878,165;0,444
24.05.2012 08:50;10083,111;1,140;878,201;0,432
24.05.2012 08:55;10083,216;1,260;878,236;0,420
24.05.2012 09:00;10083,330;1,368;878,275;0,468
24.05.2012 09:05;10083,456;1,512;878,317;0,504
24.05.2012 09:10;10083,572;1,392;878,366;0,588
24.05.2012 09:15;10083,663;1,092;878,422;0,672
24.05.2012 09:20;10083,769;1,272;878,467;0,540
24.05.2012 09:25;10083,854;1,020;878,508;0,492
24.05.2012 09:30;10083,926;0,864;878,547;0,468
24.05.2012 09:35;10084,043;1,404;878,589;0,504
24.05.2012 09:40;10084,211;2,016;878,635;0,552
24.05.2012 09:45;10084,380;2,028;878,681;0,552
24.05.2012 09:50;10084,554;2,088;878,731;0,600
24.05.2012 09:55;10084,734;2,160;878,782;0,612
24.05.2012 10:00;10084,918;2,208;878,854;0,864
24.05.2012 10:05;10085,106;2,256;878,937;0,996
24.05.2012 10:10;10085,300;2,328;879,030;1,116
24.05.2012 10:15;10085,494;2,328;879,124;1,128
24.05.2012 10:20;10085,687;2,316;879,219;1,140
24.05.2012 10:25;10085,883;2,352;879,316;1,164
24.05.2012 10:30;10086,076;2,316;879,415;1,188
24.05.2012 10:35;10086,270;2,328;879,515;1,200
24.05.2012 10:40;10086,468;2,376;879,614;1,188
24.05.2012 10:45;10086,667;2,388;879,714;1,200
24.05.2012 10:50;10086,862;2,340;879,815;1,212
24.05.2012 10:55;10087,053;2,292;879,926;1,332
24.05.2012 11:00;10087,242;2,268;880,059;1,596
24.05.2012 11:05;10087,432;2,280;880,202;1,716
24.05.2012 11:10;10087,632;2,400;880,358;1,872
24.05.2012 11:15;10087,821;2,268;880,515;1,884
24.05.2012 11:20;10087,974;1,836;880,643;1,536
24.05.2012 11:25;10088,098;1,488;880,744;1,212
24.05.2012 11:30;10088,264;1,992;880,891;1,764
24.05.2012 11:35;10088,393;1,548;881,001;1,320
24.05.2012 11:40;10088,558;1,980;881,155;1,848
24.05.2012 11:45;10088,751;2,316;881,336;2,172
24.05.2012 11:50;10088,963;2,544;881,513;2,124
24.05.2012 11:55;10089,178;2,580;881,691;2,136
24.05.2012 12:00;10089,395;2,604;881,870;2,148
24.05.2012 12:05;10089,604;2,508;882,045;2,100
24.05.2012 12:10;10089,819;2,580;882,228;2,196
24.05.2012 12:15;10090,050;2,772;882,418;2,280
24.05.2012 12:20;10090,302;3,024;882,617;2,388
24.05.2012 12:25;10090,542;2,880;882,803;2,232
24.05.2012 12:30;10090,681;1,668;882,920;1,404
24.05.2012 12:35;10090,907;2,712;883,100;2,160
24.05.2012 12:40;10091,179;3,264;883,296;2,352
24.05.2012 12:45;10091,433;3,048;883,479;2,196
24.05.2012 12:50;10091,692;3,108;883,661;2,184
24.05.2012 12:55;10091,958;3,192;883,843;2,184
24.05.2012 13:00;10092,222;3,168;884,020;2,124
24.05.2012 13:05;10092,498;3,312;884,206;2,232
24.05.2012 13:10;10092,774;3,312;884,393;2,244
24.05.2012 13:15;10093,047;3,276;884,575;2,184
24.05.2012 13:20;10093,326;3,348;884,764;2,268
24.05.2012 13:25;10093,623;3,564;884,967;2,436
24.05.2012 13:30;10093,930;3,684;885,185;2,616
24.05.2012 13:35;10094,200;3,240;885,371;2,232
24.05.2012 13:40;10094,455;3,060;885,534;1,956
